TeilID,Farbe,"Menge im A","Menge in B","nutzbar","Restmangel","kurzer Teilname"
"11211","11","5","0","0","5",""
"11212","86","14","15","14","0",""
"11214","5","5","28","5","0",""
"11214","85","9","8","8","1",""
"11215","86","1","0","0","1",""
"11253","11","1","1","1","0",""
"11477","86","8","42","8","0",""
"14181","86","4","2","2","2",""
"14704","86","8","6","6","2",""
"14720","86","2","4","2","0",""
"15068","86","12","26","12","0",""
"15071","11","1","1","1","0",""
"15100","86","8","2","2","6",""
"15210","85","2","2","2","0",""
"15254","85","4","0","0","4",""
"15301c01","85","2","0","0","2",""
"15303","17","4","0","0","4",""
"15462","88","4","20","4","0",""
"15573","11","1","7","1","0",""
"15573","85","1","10","1","0",""
"15712","85","2","1","1","1",""
"18646","86","4","7","4","0",""
"18651","11","4","42","4","0",""
"18654","2","6","0","0","6",""
"18654","85","2","0","0","2",""
"18674","85","1","0","0","1",""
"18677","11","2","3","2","0",""
"18980","86","2","0","0","2",""
"20612","13","1","0","0","1",""
"22961","5","1","0","0","1",""
"23443","86","10","8","8","2",""
"2357","86","2","0","0","2",""
"23950","86","1","0","0","1",""
"2412b","11","3","22","3","0",""
"2412b","85","7","36","7","0",""
"2412b","86","2","5","2","0",""
"2419","69","2","0","0","2",""
"2420","85","2","4","2","0",""
"2420","88","8","28","8","0",""
"24299","86","6","12","6","0",""
"24307","86","6","12","6","0",""
"2431","86","18","23","18","0",""
"2458","86","2","0","0","2",""
"2462","86","16","0","0","16",""
"2476","69","4","0","0","4",""
"2540","11","2","0","0","2",""
"26047","86","2","2","2","0",""
"2654","11","1","2","1","0",""
"2654","86","2","0","0","2",""
"26599","86","4","0","0","4",""
"26601","86","12","24","12","0",""
"26603","86","11","71","11","0",""
"2714b","11","2","0","0","2",""
"2723","86","1","0","0","1",""
"27263","1","2","4","2","0",""
"2730","11","6","26","6","0",""
"2741","85","3","0","0","3",""
"2780","11","92","327","92","0",""
"28192","85","6","0","0","6",""
"28802","85","9","0","0","9",""
"29119","1","1","2","1","0",""
"29120","1","1","2","1","0",""
"3004","69","6","0","0","6",""
"3004","86","3","4","3","0",""
"30136","85","2","0","0","2",""
"3020","11","12","11","11","1",""
"3020","86","4","6","4","0",""
"3021","85","2","1","1","1",""
"3021","86","5","16","5","0",""
"3022","69","15","0","0","15",""
